,fips,mean_14,mean_7
0,1001.0,0.06519359145527295,0.11068090787716864
1,1003.0,0.03937959183673388,0.025684897959182836
2,1005.0,0.13979797979797887,0.09137085137085013
3,1007.0,0.013455782312924382,-0.18304761904761999
4,1009.0,0.1883563748079871,0.12811059907834013
5,1011.0,-0.033274725274726566,-0.3424175824175836
6,1013.0,0.1998313817330206,0.3125995316159245
7,1015.0,-0.14218237082066923,0.05905167173252237
8,1017.0,-0.22790938384923448,-0.12832731178595952
9,1019.0,-0.06765714285714347,-0.3466666666666671
10,1021.0,-0.07998917748917843,-0.05274891774891854
11,1023.0,0.2744814090019563,0.4589954337899534
12,1025.0,-0.25656084656084704,-0.2898412698412699
13,1027.0,-0.13337031900138738,-0.24216366158113742
14,1029.0,-0.3379523809523817,-0.006857142857142914
15,1031.0,0.12955453149001434,0.039313876088068626
16,1033.0,0.16976657329598438,0.13971988795518114
17,1035.0,-0.2665653495440742,-1.0108206686930103
18,1037.0,-0.021296992481203536,-0.007406015037594366
19,1039.0,0.054528875379938155,0.02778115501519663
20,1041.0,0.2877018633540365,0.32440993788819766
21,1043.0,-0.23337474120082882,-0.13505175983436934
22,1045.0,-0.022056277056278297,-0.3133333333333347
23,1047.0,0.07177531206657328,-0.10288488210818417
24,1049.0,0.1854009697873917,0.15622528907124072
25,1051.0,-0.005562520620258455,-0.3306499505113839
26,1053.0,0.16066869300911776,0.21621073961499415
27,1055.0,-0.08994601328903763,0.014792358803985559
28,1057.0,-0.23980295566502505,0.10876847290640405
29,1059.0,0.2589010989010984,0.3887999999999994
30,1061.0,0.3273015873015863,0.16165079365079213
31,1063.0,0.13945265462506748,0.09928845101258799
32,1065.0,0.08752912323727688,-0.029748620478235097
33,1067.0,-0.1616086434573842,-0.14938775510204186
34,1069.0,-0.14379665379665438,-0.27319176319176336
35,1071.0,-0.056822762299941244,-0.21605216360403107
36,1073.0,-0.04022593133210702,0.11183854794694316
37,1075.0,-0.21407008086253448,0.18900269541778897
38,1077.0,0.004376306620208714,0.1438606271777003
39,1079.0,0.04649769585253393,0.20359447004608164
40,1081.0,-0.1774674990818956,-0.11306940874036032
41,1083.0,-0.08283116883116869,-0.06168831168831147
42,1085.0,0.05116300366300287,-0.015934065934066703
43,1087.0,-0.03942232630757299,-0.22672911787665923
44,1089.0,-0.18940002526209504,-0.08200075786282747
45,1091.0,0.06057836899942102,0.17563909774436043
46,1093.0,-0.25407161314138166,-0.10307862679955722
47,1095.0,0.21555437100213135,0.397139303482586
48,1097.0,-0.04699402539208438,0.03432945695081517
49,1099.0,0.0987301587301579,0.14249433106575862
50,1101.0,0.015808170515096847,-0.2231311849784326
51,1103.0,0.022331691297207773,0.1468472906403934
52,1105.0,-0.462796352583588,-0.8017021276595756
53,1107.0,-0.011567379988433688,-0.22493927125506194
54,1109.0,0.235123586091327,0.1666694595726839
55,1111.0,-0.24062999112688657,-0.4159893522626449
56,1113.0,-0.10169238427078249,-0.28842210054753725
57,1115.0,-0.05346368715083906,-0.09524341580207615
58,1117.0,-0.1028660547188313,-0.07484181445503968
59,1119.0,0.043673469387754016,-0.03573696145124851
60,1121.0,-0.11897556390977515,-0.03343984962406046
61,1123.0,0.0583524211372304,-0.19103475989552018
62,1125.0,-0.06728778467908965,0.015276742581089292
63,1127.0,-0.23850283328362712,-0.04471219803161363
64,1129.0,0.08554913294797643,0.3130966143682901
65,1131.0,-0.08795793163891415,-0.2625241016652066
66,1133.0,0.07626984126984049,-0.3860317460317469
67,2013.0,0.0,0.0
68,2016.0,0.0,0.0
69,2020.0,-0.13201075779148938,-0.13401676949849686
70,2050.0,-0.778285714285715,-0.004571428571428649
71,2060.0,0.0,0.0
72,2068.0,0.0,0.0
73,2070.0,0.0,0.0
74,2090.0,-0.3023879551820734,-0.021988795518207205
75,2100.0,0.0,0.0
76,2105.0,0.0,0.0
77,2110.0,-0.040761904761905166,-0.39462433862433915
78,2122.0,-0.14591630591630622,-0.2959307359307357
79,2130.0,0.00885714285714261,0.018857142857142385
80,2150.0,-1.5067312477055696e-15,-1.838857142857145
81,2158.0,0.0,0.0
82,2164.0,0.0,0.0
83,2170.0,-0.2518367346938785,-0.2755374149659869
84,2180.0,-0.10114285714285866,-1.8034285714285734
85,2185.0,0.0,0.0
86,2188.0,0.0,0.0
87,2195.0,-0.019428571428572156,0.018571428571427646
88,2198.0,-0.5037142857142866,-1.0074285714285716
89,2220.0,0.3959999999999999,0.7919999999999998
90,2230.0,0.0,0.0
91,2240.0,-0.11485714285714306,0.0
92,2261.0,0.0,0.0
93,2275.0,0.0,0.0
94,2282.0,0.0,0.0
95,2290.0,-0.11485714285714306,0.0
96,4001.0,0.235302421966066,0.22436730993394569
97,4003.0,0.12288690476190392,0.02976190476190353
98,4005.0,0.0011438143096430314,0.026853314189997264
99,4007.0,0.2892063492063482,-0.046077097505670635
100,4009.0,0.4240993788819874,0.805300207039337
101,4011.0,-0.38914285714285796,-0.23142857142857176
102,4012.0,0.06655172413793056,0.177635467980295
103,4013.0,0.03754688736955682,0.07746153292551201
104,4015.0,0.12871679197994926,0.22799999999999934
105,4017.0,0.028332665651790163,0.07731111289159491
106,4019.0,-0.020296248591210216,-0.06559422223244596
107,4021.0,0.1030556150496177,0.07750696080531148
108,4023.0,0.20458553791887013,0.07248677248677106
109,4025.0,-0.1692220650636497,-0.04297029702970351
110,4027.0,0.28017768301350343,0.37921819474058205
111,5001.0,-0.4828571428571435,-0.046285714285714444
112,5003.0,-0.4443835616438365,0.0022700587084146795
